"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"31.12.2020","109,49","108,17","109,64","107,85","2,98M","0,97%"
"30.12.2020","108,44","108,58","109,11","107,84","2,42M","0,10%"
"29.12.2020","108,33","108,45","108,93","108,16","2,83M","0,50%"
"28.12.2020","107,79","108,96","109,10","107,26","2,03M","-0,52%"
"24.12.2020","108,35","107,44","108,95","107,38","1,45M","0,84%"
"23.12.2020","107,45","108,98","109,66","107,45","3,15M","-0,77%"
"22.12.2020","108,28","107,75","109,02","107,00","3,43M","0,18%"
"21.12.2020","108,09","107,59","108,16","105,40","4,54M","-0,81%"
"18.12.2020","108,97","108,85","109,61","107,49","10,67M","0,17%"
"17.12.2020","108,78","107,82","108,93","107,82","3,92M","1,34%"
"16.12.2020","107,34","107,45","108,21","106,61","4,35M","-0,10%"
"15.12.2020","107,45","107,31","108,38","106,41","5,26M","0,62%"
"14.12.2020","106,79","107,42","109,16","106,79","6,25M","-0,21%"
"11.12.2020","107,02","106,10","107,35","105,32","4,72M","0,47%"
"10.12.2020","106,52","106,87","107,09","106,04","4,83M","0,19%"
"09.12.2020","106,32","107,15","107,68","105,53","5,74M","-0,45%"
"08.12.2020","106,80","106,68","107,23","106,21","6,64M","-0,35%"
"07.12.2020","107,18","108,00","108,28","106,66","6,93M","-0,67%"
"04.12.2020","107,90","107,08","108,27","106,93","4,69M","0,34%"
"03.12.2020","107,53","108,15","108,59","107,10","3,85M","-0,57%"
"02.12.2020","108,15","108,34","108,60","107,40","3,44M","-0,31%"
"01.12.2020","108,49","109,24","109,60","108,07","4,12M","0,25%"
"30.11.2020","108,22","107,94","108,55","107,13","5,70M","0,56%"
"27.11.2020","107,62","106,67","107,75","105,87","1,98M","1,14%"
"25.11.2020","106,41","107,05","108,40","105,63","6,22M","-1,12%"
"24.11.2020","107,61","109,35","109,39","107,30","7,32M","-1,52%"
"23.11.2020","109,27","111,35","111,36","108,90","4,11M","-1,46%"
"20.11.2020","110,89","110,74","111,76","110,07","4,08M","-0,10%"
"19.11.2020","111,00","110,13","111,19","109,41","3,55M","1,12%"
"18.11.2020","109,77","113,69","113,69","109,77","4,55M","-2,91%"
