"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"31.12.2020","62,03","61,44","62,11","60,97","8,65M","0,18%"
"30.12.2020","61,92","61,56","62,16","61,48","6,62M","0,81%"
"29.12.2020","61,42","61,58","61,93","61,34","6,65M","0,49%"
"28.12.2020","61,12","61,45","61,74","60,81","6,86M","-0,05%"
"24.12.2020","61,15","61,12","61,36","60,94","3,10M","0,25%"
"23.12.2020","61,00","61,44","61,62","61,00","6,24M","-0,70%"
"22.12.2020","61,43","61,71","61,96","61,14","8,11M","-0,94%"
"21.12.2020","62,01","62,00","62,11","61,34","13,06M","-1,76%"
"18.12.2020","63,12","62,65","63,45","62,44","21,18M","0,93%"
"17.12.2020","62,54","62,64","62,82","62,01","10,64M","0,32%"
"16.12.2020","62,34","62,53","63,27","62,31","9,50M","-0,37%"
"15.12.2020","62,57","61,18","62,63","60,86","14,94M","4,34%"
"14.12.2020","59,97","61,00","61,10","59,93","11,40M","-1,24%"
"11.12.2020","60,72","60,33","61,47","60,20","10,02M","0,86%"
"10.12.2020","60,20","60,92","61,01","59,96","9,43M","-1,18%"
"09.12.2020","60,92","61,41","61,56","60,34","10,24M","-0,33%"
"08.12.2020","61,12","61,14","61,78","60,86","10,83M","-0,13%"
"07.12.2020","61,20","62,22","62,55","60,99","8,97M","-1,78%"
"04.12.2020","62,31","61,79","62,31","61,65","8,16M","0,86%"
"03.12.2020","61,78","62,00","62,28","61,58","10,94M","-0,64%"
"02.12.2020","62,18","62,46","62,81","61,91","8,08M","-0,37%"
"01.12.2020","62,41","63,15","63,74","62,33","9,87M","0,02%"
"30.11.2020","62,40","63,15","63,26","62,00","15,00M","-1,03%"
"27.11.2020","63,05","63,28","63,69","62,88","4,18M","0,33%"
"25.11.2020","62,84","63,42","63,50","62,20","9,52M","-0,60%"
"24.11.2020","63,22","61,93","63,51","61,93","13,51M","2,10%"
"23.11.2020","61,92","61,85","61,99","61,08","9,60M","0,50%"
"20.11.2020","61,61","61,85","62,33","61,40","8,31M","-0,77%"
"19.11.2020","62,09","62,01","62,29","61,16","9,03M","0,13%"
"18.11.2020","62,01","64,70","64,70","62,00","12,46M","-3,59%"
"17.11.2020","64,32","64,42","64,65","63,88","8,61M","-0,28%"
"16.11.2020","64,50","64,14","64,90","63,85","7,20M","1,38%"
"13.11.2020","63,62","62,79","64,04","62,77","9,44M","1,39%"
"12.11.2020","62,75","63,08","63,08","62,20","7,60M","-1,06%"
"11.11.2020","63,42","65,00","65,09","63,03","8,27M","-1,70%"
"10.11.2020","64,52","64,24","64,79","63,75","11,21M","0,69%"
"09.11.2020","64,08","65,40","66,05","64,01","15,53M","0,44%"
"06.11.2020","63,80","63,61","64,92","63,38","9,68M","0,08%"
"05.11.2020","63,75","65,00","65,25","63,54","17,68M","-2,57%"
"04.11.2020","65,43","63,92","66,23","63,92","24,70M","6,84%"
"03.11.2020","61,24","61,06","62,22","61,06","14,24M","2,94%"
"02.11.2020","59,49","59,28","59,64","58,84","10,32M","1,78%"
"30.10.2020","58,45","57,71","58,48","57,59","11,16M","0,92%"
"29.10.2020","57,92","57,81","58,43","56,75","8,84M","0,28%"
"28.10.2020","57,76","58,01","58,53","57,41","11,93M","-1,67%"
"27.10.2020","58,74","59,35","59,83","58,57","10,01M","-1,56%"
"26.10.2020","59,67","59,84","60,14","59,04","7,48M","-0,77%"
"23.10.2020","60,13","60,83","61,22","60,07","7,34M","-1,04%"
"22.10.2020","60,76","59,99","61,01","59,99","7,04M","1,22%"
"21.10.2020","60,03","60,46","60,74","59,97","8,00M","-1,01%"
"20.10.2020","60,64","61,08","61,22","60,54","6,64M","-0,21%"
"19.10.2020","60,77","61,72","62,37","60,51","11,00M","-0,77%"
"16.10.2020","61,24","60,67","61,74","60,65","9,39M","1,36%"
"15.10.2020","60,42","60,80","60,87","60,31","13,11M","-0,95%"
"14.10.2020","61,00","61,08","61,62","60,73","8,82M","-0,21%"
"13.10.2020","61,13","61,51","62,00","60,98","8,37M","-1,13%"
"12.10.2020","61,83","61,98","62,25","61,49","11,53M","0,02%"
"09.10.2020","61,82","61,80","62,29","61,60","9,41M","0,32%"
"08.10.2020","61,62","60,76","62,08","60,47","11,79M","1,99%"
"07.10.2020","60,42","58,15","60,97","58,00","14,63M","4,64%"
"06.10.2020","57,74","59,38","59,46","57,62","13,11M","-2,47%"
"05.10.2020","59,20","58,55","59,28","57,95","10,99M","0,82%"
"02.10.2020","58,72","59,39","60,01","58,68","12,57M","-1,84%"
"01.10.2020","59,82","60,34","60,56","59,63","8,75M","-0,78%"
"30.09.2020","60,29","60,36","60,64","59,80","10,32M","0,65%"
"29.09.2020","59,90","59,84","60,94","59,68","8,04M","0,32%"
"28.09.2020","59,71","59,37","60,19","58,96","9,62M","0,37%"
"25.09.2020","59,49","58,26","59,84","58,16","9,84M","2,13%"
"24.09.2020","58,25","58,50","58,80","57,72","10,36M","-1,25%"
"23.09.2020","58,99","59,05","59,49","58,62","11,44M","0,39%"
"22.09.2020","58,76","57,88","58,84","57,78","12,47M","1,71%"
"21.09.2020","57,77","58,78","58,90","56,90","16,20M","-2,53%"
"18.09.2020","59,27","59,09","59,72","58,83","13,94M","-0,22%"
"17.09.2020","59,40","58,95","59,41","58,35","6,62M","-0,08%"
"16.09.2020","59,45","59,62","59,96","59,25","6,16M","-0,13%"
"15.09.2020","59,53","59,97","60,10","59,40","8,26M","-0,28%"
"14.09.2020","59,70","59,24","60,09","59,08","6,24M","1,20%"
"11.09.2020","58,99","58,46","59,26","58,43","8,57M","1,20%"
"10.09.2020","58,29","58,86","59,28","58,18","12,00M","-1,34%"
"09.09.2020","59,08","59,00","59,59","58,76","7,17M","0,94%"
"08.09.2020","58,53","59,85","59,87","58,15","11,74M","-2,37%"
"04.09.2020","59,95","60,18","60,53","59,25","16,41M","-0,17%"
"03.09.2020","60,05","61,56","62,01","59,54","16,48M","-2,52%"
"02.09.2020","61,60","60,81","61,82","60,47","13,29M","1,03%"
"01.09.2020","60,97","62,20","62,26","60,69","11,31M","-1,98%"
"31.08.2020","62,20","62,38","62,80","61,95","14,16M","-0,27%"
"28.08.2020","62,37","62,50","62,59","61,85","6,38M","-0,22%"
"27.08.2020","62,51","62,33","62,95","62,24","6,39M","0,37%"
"26.08.2020","62,28","62,54","62,57","61,59","6,20M","-0,69%"
"25.08.2020","62,71","62,62","63,36","62,52","6,62M","0,48%"
"24.08.2020","62,41","62,33","62,45","61,70","8,72M","0,35%"
"21.08.2020","62,19","62,22","62,35","61,74","8,03M","-0,05%"
"20.08.2020","62,22","62,82","62,82","61,93","6,33M","-1,38%"
"19.08.2020","63,09","63,04","63,81","62,96","6,09M","0,10%"
"18.08.2020","63,03","63,53","63,66","62,91","5,75M","-0,93%"
"17.08.2020","63,62","63,38","64,07","63,17","5,97M","0,73%"
"14.08.2020","63,16","63,19","63,55","62,75","5,61M","-0,13%"
"13.08.2020","63,24","63,02","63,57","62,92","7,75M","-0,63%"
"12.08.2020","63,64","63,59","64,26","63,47","8,62M","0,81%"
"11.08.2020","63,13","62,95","64,24","62,72","20,74M","2,12%"
"10.08.2020","61,82","61,00","61,99","60,80","9,82M","1,31%"
"07.08.2020","61,02","61,56","61,65","60,42","9,97M","-0,51%"
"06.08.2020","61,33","61,99","62,96","60,43","18,96M","2,75%"
"05.08.2020","59,69","59,93","60,37","59,41","10,79M","0,37%"
"04.08.2020","59,47","58,86","59,50","58,53","6,53M","0,63%"
"03.08.2020","59,10","59,12","59,63","58,97","10,34M","0,75%"
"31.07.2020","58,66","58,88","59,09","57,77","10,44M","-0,36%"
"30.07.2020","58,87","58,85","59,15","58,35","7,18M","-0,47%"
"29.07.2020","59,15","59,16","59,40","58,59","7,36M","-0,47%"
