"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"31.12.2020","222,14","220,83","222,35","219,67","1,84M","0,66%"
"30.12.2020","220,68","223,78","224,85","220,29","1,43M","-0,98%"
"29.12.2020","222,86","225,39","225,65","222,66","1,73M","0,05%"
"28.12.2020","222,75","223,51","225,31","221,46","2,12M","0,57%"
"24.12.2020","221,49","220,75","223,57","220,57","610,98K","0,42%"
"23.12.2020","220,57","223,95","224,29","220,50","1,75M","-1,06%"
"22.12.2020","222,93","225,08","226,01","222,64","1,82M","-1,43%"
"21.12.2020","226,16","223,15","226,51","220,43","2,48M","0,02%"
"18.12.2020","226,11","224,64","227,41","222,10","4,22M","0,72%"
"17.12.2020","224,49","222,83","225,08","222,83","1,61M","1,17%"
"16.12.2020","221,90","222,82","223,57","220,64","1,78M","-0,57%"
"15.12.2020","223,17","222,15","224,64","220,90","2,09M","0,94%"
"14.12.2020","221,10","223,63","225,58","221,04","1,92M","-1,18%"
"11.12.2020","223,75","223,68","226,05","221,43","1,47M","0,24%"
"10.12.2020","223,21","222,92","226,28","222,08","3,26M","0,17%"
"09.12.2020","222,84","223,51","224,31","221,07","2,50M","-0,30%"
"08.12.2020","223,50","225,00","226,84","223,29","2,03M","-1,17%"
"07.12.2020","226,15","225,41","227,90","225,08","1,85M","0,77%"
"04.12.2020","224,43","222,26","224,69","219,82","2,52M","0,49%"
"03.12.2020","223,34","225,17","226,15","222,50","3,20M","-0,65%"
"02.12.2020","224,80","225,56","225,90","223,76","2,13M","-0,09%"
"01.12.2020","225,00","226,01","228,00","223,00","3,87M","0,16%"
"30.11.2020","224,63","219,45","224,77","219,45","3,32M","3,62%"
"27.11.2020","216,78","218,20","218,54","215,01","1,41M","-0,20%"
"25.11.2020","217,22","214,64","217,38","212,42","3,21M","-0,48%"
"24.11.2020","218,26","221,71","221,97","216,79","3,95M","-1,28%"
"23.11.2020","221,08","227,60","227,60","218,83","2,80M","-2,07%"
"20.11.2020","225,76","225,67","227,54","224,12","2,35M","-0,03%"
"19.11.2020","225,83","224,70","225,83","224,70","2,77M","0,50%"
"18.11.2020","224,70","230,00","230,31","223,27","2,87M","-2,03%"
"17.11.2020","229,35","228,15","231,94","227,77","2,40M","-0,13%"
"16.11.2020","229,65","235,54","236,30","228,92","2,15M","-2,14%"
"14.11.2020","234,68","234,68","234,68","234,68","-","0,00%"
"13.11.2020","234,68","235,00","236,28","233,90","2,48M","0,73%"
"12.11.2020","232,99","232,99","235,36","231,67","2,32M","-0,06%"
"11.11.2020","233,14","227,01","234,86","226,47","3,90M","3,21%"
"10.11.2020","225,88","232,68","234,24","224,87","6,23M","-3,38%"
"09.11.2020","233,78","245,99","248,32","233,52","3,88M","-4,76%"
"06.11.2020","245,46","242,48","247,75","239,77","2,34M","2,13%"
"05.11.2020","240,34","246,88","246,88","239,77","3,39M","-0,07%"
"04.11.2020","240,52","239,99","245,42","238,73","3,03M","2,45%"
"03.11.2020","234,76","234,85","236,68","232,92","1,66M","1,00%"
"02.11.2020","232,44","232,16","235,12","229,87","2,51M","1,26%"
"30.10.2020","229,54","229,00","230,85","225,40","2,60M","-0,23%"
"29.10.2020","230,07","232,28","233,40","228,33","2,21M","-0,87%"
"28.10.2020","232,10","236,31","238,00","231,16","2,84M","-3,20%"
"27.10.2020","239,78","237,40","240,47","236,60","3,27M","2,07%"
"26.10.2020","234,91","231,73","235,11","231,25","2,38M","0,97%"
"23.10.2020","232,66","235,19","236,55","231,33","2,27M","-0,56%"
"22.10.2020","233,98","226,50","235,52","226,26","2,74M","3,28%"
"21.10.2020","226,55","228,80","229,75","226,31","3,76M","-0,21%"
"20.10.2020","227,03","224,15","228,92","224,15","2,33M","1,43%"
"19.10.2020","223,83","227,97","228,66","222,30","2,28M","-1,59%"
"16.10.2020","227,45","226,39","229,45","226,00","2,64M","0,90%"
"15.10.2020","225,42","221,35","225,76","220,97","1,72M","-0,50%"
"14.10.2020","226,55","225,80","227,20","224,25","1,79M","0,41%"
"13.10.2020","225,62","224,40","225,96","224,40","1,64M","-0,06%"
"12.10.2020","225,75","227,01","227,43","225,21","1,89M","-0,14%"
