"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"31.12.2020","157,38","156,53","157,66","155,11","5,10M","0,85%"
"30.12.2020","156,05","154,61","156,35","154,61","5,41M","1,24%"
"29.12.2020","154,14","153,98","154,92","153,80","5,21M","0,62%"
"28.12.2020","153,19","153,39","153,87","152,30","3,86M","0,47%"
"24.12.2020","152,47","151,85","153,04","151,82","2,11M","0,35%"
"23.12.2020","151,94","153,01","153,57","151,92","4,61M","-0,51%"
"22.12.2020","152,72","152,30","153,90","151,89","4,70M","-0,20%"
"21.12.2020","153,02","152,01","153,41","150,05","7,89M","-0,96%"
"18.12.2020","154,51","153,65","155,10","151,67","17,14M","0,58%"
"17.12.2020","153,62","150,11","153,87","149,96","9,92M","2,64%"
"16.12.2020","149,67","150,42","150,92","149,60","8,49M","-0,60%"
"15.12.2020","150,57","150,12","150,74","149,60","7,61M","1,01%"
"14.12.2020","149,07","153,20","153,48","149,07","8,55M","-2,54%"
"11.12.2020","152,95","151,53","153,41","151,23","5,97M","0,46%"
"10.12.2020","152,25","152,81","152,96","151,70","7,39M","-0,56%"
"09.12.2020","153,10","152,62","153,49","151,76","8,44M","1,02%"
"08.12.2020","151,55","149,68","152,13","149,55","8,34M","1,73%"
"07.12.2020","148,97","149,48","149,90","148,53","6,63M","-0,87%"
"04.12.2020","150,27","149,79","150,31","149,27","6,75M","0,85%"
"03.12.2020","149,00","148,17","149,57","147,70","7,31M","0,58%"
"02.12.2020","148,14","147,96","149,70","147,71","7,75M","0,47%"
"01.12.2020","147,45","146,29","149,13","145,86","9,70M","1,91%"
"30.11.2020","144,68","143,80","144,84","143,08","15,66M","0,47%"
"27.11.2020","144,00","144,50","144,66","143,22","3,06M","0,22%"
"25.11.2020","143,68","144,06","144,17","142,86","7,59M","-0,13%"
"24.11.2020","143,87","144,16","144,74","143,61","11,04M","0,00%"
"23.11.2020","143,87","145,91","145,92","143,04","7,32M","-1,70%"
"20.11.2020","146,36","147,05","147,94","146,13","6,36M","-0,53%"
"19.11.2020","147,14","147,37","147,46","145,60","7,99M","-0,16%"
"18.11.2020","147,37","148,87","149,72","147,37","6,66M","-1,33%"
"17.11.2020","149,35","150,33","150,60","149,12","7,30M","-0,99%"
"16.11.2020","150,85","151,00","151,27","149,81","6,27M","0,63%"
"14.11.2020","149,90","149,90","149,90","149,90","-","0,00%"
"13.11.2020","149,90","149,14","150,41","148,43","5,90M","1,08%"
"12.11.2020","148,30","147,65","148,64","146,76","4,71M","0,34%"
"11.11.2020","147,80","149,15","149,15","146,89","6,38M","-0,32%"
"10.11.2020","148,28","147,28","148,70","146,26","7,39M","1,51%"
"09.11.2020","146,08","148,66","148,98","144,95","12,35M","2,69%"
"06.11.2020","142,25","140,40","143,19","139,65","5,94M","1,78%"
"05.11.2020","139,76","140,60","141,82","139,26","8,02M","0,26%"
"04.11.2020","139,40","139,75","142,50","138,72","10,26M","0,65%"
"03.11.2020","138,50","140,04","140,92","137,80","6,36M","-0,14%"
"02.11.2020","138,69","138,98","139,00","137,51","7,09M","1,15%"
"30.10.2020","137,11","136,68","137,54","133,65","7,36M","-0,06%"
"29.10.2020","137,19","138,00","138,70","136,05","7,21M","-0,85%"
"28.10.2020","138,36","140,67","141,61","138,21","8,43M","-3,35%"
"27.10.2020","143,15","143,74","144,27","142,94","4,89M","-0,57%"
"26.10.2020","143,97","144,50","144,52","142,77","6,93M","-0,87%"
"23.10.2020","145,24","145,88","147,47","144,35","4,15M","0,11%"
"22.10.2020","145,08","143,91","145,68","143,91","5,28M","0,80%"
"21.10.2020","143,93","144,44","145,29","143,93","5,22M","-0,43%"
"20.10.2020","144,55","144,77","145,75","144,13","5,33M","0,16%"
"19.10.2020","144,32","148,52","148,88","144,13","7,25M","-2,55%"
"16.10.2020","148,10","147,60","148,76","147,01","6,10M","0,62%"
"15.10.2020","147,19","147,25","147,89","146,37","5,98M","-0,61%"
"14.10.2020","148,10","148,82","149,00","147,40","7,71M","-0,18%"
"13.10.2020","148,36","149,00","150,10","147,77","11,06M","-2,29%"
"12.10.2020","151,84","151,58","153,13","151,10","7,27M","0,58%"
"09.10.2020","150,97","149,65","151,48","149,45","5,05M","1,40%"
"08.10.2020","148,89","148,45","149,84","148,13","4,41M","0,68%"
"07.10.2020","147,88","146,72","148,22","145,83","5,60M","1,11%"
"06.10.2020","146,26","148,60","148,60","145,90","5,12M","-1,33%"
"05.10.2020","148,23","147,00","148,38","146,42","4,99M","1,36%"
"02.10.2020","146,24","146,21","148,41","145,83","5,49M","-0,73%"
"01.10.2020","147,32","149,44","149,58","146,46","6,46M","-1,05%"
"30.09.2020","148,88","147,52","149,73","146,84","8,49M","1,24%"
"29.09.2020","147,06","146,99","147,92","146,06","6,77M","-0,03%"
"28.09.2020","147,11","146,73","148,29","146,47","5,84M","1,00%"
"25.09.2020","145,66","144,00","146,25","143,89","5,53M","0,68%"
"24.09.2020","144,67","144,35","145,24","143,35","5,61M","0,16%"
"23.09.2020","144,44","147,42","147,42","144,42","8,78M","0,16%"
"22.09.2020","144,21","144,56","145,34","143,73","5,30M","-0,61%"
"21.09.2020","145,10","147,58","147,87","143,00","7,57M","-2,73%"
"18.09.2020","149,18","146,51","149,65","146,20","12,17M","1,37%"
"17.09.2020","147,17","148,08","148,63","146,05","5,46M","-0,83%"
"16.09.2020","148,40","149,84","150,05","148,36","4,32M","-0,33%"
"15.09.2020","148,89","149,49","150,59","148,52","3,66M","0,36%"
"14.09.2020","148,35","148,05","149,46","148,05","4,38M","0,39%"
"11.09.2020","147,78","147,05","148,53","146,63","3,93M","0,59%"
"10.09.2020","146,91","149,45","149,76","146,56","6,19M","-1,86%"
"09.09.2020","149,70","148,40","151,09","148,25","6,96M","1,66%"
"08.09.2020","147,26","150,59","150,66","146,92","8,76M","-0,90%"
"04.09.2020","148,59","150,17","150,95","147,13","7,20M","-0,64%"
"03.09.2020","149,55","154,89","155,47","148,30","8,67M","-2,78%"
"02.09.2020","153,83","151,13","154,32","149,31","6,88M","1,52%"
"01.09.2020","151,52","153,87","154,08","150,07","6,29M","-1,23%"
"31.08.2020","153,41","153,11","154,39","152,66","6,36M","-0,15%"
"28.08.2020","153,64","152,74","153,70","151,90","5,40M","0,43%"
"27.08.2020","152,98","152,27","153,24","151,92","5,58M","0,45%"
"26.08.2020","152,30","151,81","152,62","150,65","8,01M","0,16%"
