"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"31.12.2020","168,84","167,07","169,13","166,29","1,64M","1,10%"
"30.12.2020","167,01","167,44","168,39","166,71","1,41M","0,26%"
"29.12.2020","166,58","166,78","167,59","165,91","1,71M","0,05%"
"28.12.2020","166,50","167,58","167,58","165,25","1,48M","-0,10%"
"24.12.2020","166,66","165,85","167,94","165,85","627,23K","0,71%"
"23.12.2020","165,48","167,58","167,93","165,48","1,70M","-0,74%"
"22.12.2020","166,72","168,39","168,39","165,88","2,45M","-1,22%"
"21.12.2020","168,78","168,88","169,00","165,80","3,36M","-1,53%"
"18.12.2020","171,40","172,52","172,89","169,00","7,36M","-0,71%"
"17.12.2020","172,63","171,54","173,88","171,14","3,47M","0,34%"
"16.12.2020","172,05","169,59","173,18","166,79","6,01M","2,76%"
"15.12.2020","167,43","159,07","168,22","158,40","6,98M","6,03%"
"14.12.2020","157,91","160,54","162,22","157,91","4,39M","-1,33%"
"11.12.2020","160,04","159,72","161,18","159,06","3,44M","-0,60%"
"10.12.2020","161,00","159,87","161,96","158,59","6,43M","1,90%"
"09.12.2020","158,00","154,24","158,85","153,86","8,36M","5,83%"
"08.12.2020","149,30","146,98","150,14","146,91","2,75M","1,28%"
"07.12.2020","147,42","147,30","148,33","146,48","2,62M","-0,69%"
"04.12.2020","148,45","144,07","148,72","144,00","3,06M","3,01%"
"03.12.2020","144,11","145,40","146,47","143,16","4,06M","-0,72%"
"02.12.2020","145,16","145,35","147,08","144,41","3,76M","-0,27%"
"01.12.2020","145,56","146,69","148,06","145,26","3,95M","-0,06%"
"30.11.2020","145,65","147,00","148,16","145,00","5,84M","-1,21%"
"27.11.2020","147,44","145,65","147,92","145,36","1,75M","1,86%"
"25.11.2020","144,75","144,90","145,14","142,65","3,22M","-0,10%"
"24.11.2020","144,90","143,39","145,55","143,11","4,13M","1,06%"
"23.11.2020","143,38","145,54","145,54","141,21","3,79M","-1,45%"
"20.11.2020","145,49","142,84","147,09","142,84","5,06M","1,45%"
"19.11.2020","143,41","140,17","143,87","138,99","4,63M","2,31%"
"18.11.2020","140,17","141,90","142,42","140,13","2,78M","-0,73%"
"17.11.2020","141,20","139,38","141,88","138,78","3,62M","0,43%"
"16.11.2020","140,59","143,35","144,16","140,04","4,96M","-1,26%"
"14.11.2020","142,38","142,38","142,38","142,38","-","0,00%"
"13.11.2020","142,38","142,43","143,16","141,39","2,14M","0,96%"
"12.11.2020","141,03","142,98","143,39","139,90","3,46M","-2,58%"
"11.11.2020","144,76","147,48","147,50","143,38","3,05M","-1,23%"
"10.11.2020","146,56","147,01","149,10","143,87","5,38M","2,97%"
"09.11.2020","142,33","142,54","144,75","140,70","5,49M","-0,29%"
"06.11.2020","142,74","145,05","147,39","139,10","6,23M","-1,91%"
"05.11.2020","145,52","148,05","148,50","144,72","5,73M","-2,07%"
"04.11.2020","148,59","135,71","151,98","135,38","12,21M","13,44%"
"03.11.2020","130,98","133,61","134,06","130,76","3,63M","-0,49%"
"02.11.2020","131,63","132,74","133,82","130,00","3,45M","0,90%"
"30.10.2020","130,46","131,76","133,10","129,21","4,34M","-1,58%"
"29.10.2020","132,55","132,00","133,13","130,38","4,10M","0,94%"
"28.10.2020","131,31","130,54","134,02","130,46","6,19M","-0,45%"
"27.10.2020","131,90","132,95","135,38","131,89","11,37M","-6,92%"
"26.10.2020","141,70","141,90","142,22","140,08","2,95M","-0,48%"
"23.10.2020","142,38","142,24","144,70","141,72","2,43M","0,52%"
"22.10.2020","141,65","141,50","142,25","140,84","3,06M","0,24%"
"21.10.2020","141,31","142,70","143,33","141,22","1,98M","-1,59%"
"20.10.2020","143,59","143,28","144,11","142,27","2,19M","0,55%"
"19.10.2020","142,80","147,05","147,35","142,24","3,16M","-2,27%"
"16.10.2020","146,12","147,11","148,38","146,00","2,92M","-0,45%"
"15.10.2020","146,78","146,79","146,85","145,42","3,79M","-1,13%"
"14.10.2020","148,46","150,30","150,60","147,73","2,71M","-1,08%"
"13.10.2020","150,08","153,02","154,29","148,59","5,96M","-2,85%"
"12.10.2020","154,49","157,11","157,11","154,47","3,24M","-1,52%"
"09.10.2020","156,88","154,09","157,15","154,07","4,59M","2,20%"
"08.10.2020","153,50","152,11","153,93","150,64","4,69M","3,05%"
"07.10.2020","148,96","148,63","149,87","146,86","4,60M","3,35%"
"06.10.2020","144,13","146,88","147,75","143,99","2,41M","-1,70%"
"05.10.2020","146,63","145,07","147,47","144,18","2,79M","0,98%"
"02.10.2020","145,21","143,67","146,94","143,27","3,88M","0,64%"
"01.10.2020","144,29","148,30","148,65","144,06","3,81M","-2,52%"
"30.09.2020","148,02","146,15","148,44","145,08","5,08M","1,20%"
"29.09.2020","146,26","147,95","148,38","145,94","3,31M","-1,24%"
"28.09.2020","148,10","151,00","151,54","147,91","2,43M","-1,44%"
"25.09.2020","150,26","148,39","150,40","147,85","2,44M","0,97%"
"24.09.2020","148,81","149,26","149,66","147,37","3,33M","-0,67%"
"23.09.2020","149,81","150,38","151,52","148,74","3,55M","-0,03%"
"22.09.2020","149,86","151,07","151,27","149,18","2,93M","-0,87%"
"21.09.2020","151,18","153,17","153,59","149,07","3,50M","-1,94%"
"18.09.2020","154,17","152,04","154,50","152,04","13,21M","1,11%"
"17.09.2020","152,47","150,62","152,67","149,55","3,62M","1,00%"
"16.09.2020","150,96","151,72","152,67","150,93","3,62M","0,59%"
"15.09.2020","150,08","150,26","151,81","149,54","2,92M","0,72%"
"14.09.2020","149,00","148,94","150,48","147,50","3,07M","0,61%"
"11.09.2020","148,09","147,56","149,18","146,88","3,00M","1,28%"
"10.09.2020","146,22","149,88","150,60","145,71","3,94M","-3,78%"
"09.09.2020","151,97","150,66","154,07","150,38","2,33M","1,78%"
"08.09.2020","149,31","151,14","151,28","148,52","4,35M","-1,06%"
"04.09.2020","150,91","148,77","152,58","147,95","4,36M","1,27%"
"03.09.2020","149,02","152,10","153,29","147,50","4,23M","-0,35%"
"02.09.2020","149,55","146,79","149,91","146,75","2,41M","1,53%"
"01.09.2020","147,30","148,61","149,20","146,65","2,35M","-0,73%"
"31.08.2020","148,39","147,35","148,75","147,06","4,43M","0,71%"
"28.08.2020","147,34","148,84","149,15","146,98","2,10M","-1,09%"
"27.08.2020","148,97","150,44","150,89","148,97","3,15M","-0,19%"
"26.08.2020","149,26","149,02","149,40","147,41","3,03M","-0,28%"
"25.08.2020","149,68","149,89","151,30","149,36","2,22M","0,11%"
"24.08.2020","149,52","150,05","150,40","148,25","2,20M","0,17%"
"21.08.2020","149,26","151,34","151,35","147,95","3,11M","-1,37%"
"20.08.2020","151,34","152,33","152,78","150,87","1,83M","-0,62%"
"19.08.2020","152,29","154,14","154,36","152,13","1,94M","-0,54%"
"18.08.2020","153,11","152,04","153,12","151,20","1,96M","1,04%"
"17.08.2020","151,53","150,92","152,70","150,43","2,70M","0,96%"
"14.08.2020","150,09","149,80","151,69","149,15","1,54M","-0,25%"
"13.08.2020","150,46","151,05","151,54","149,82","2,08M","-1,37%"
"12.08.2020","152,55","150,69","153,17","150,69","2,43M","1,27%"
"11.08.2020","150,63","152,97","152,97","150,20","2,10M","-1,55%"
"10.08.2020","153,00","152,93","153,48","151,54","1,75M","0,05%"
"07.08.2020","152,93","152,96","153,50","151,58","2,02M","0,03%"
"06.08.2020","152,88","154,38","155,40","151,01","2,18M","-0,95%"
"05.08.2020","154,34","156,62","156,62","153,33","2,48M","-0,33%"
"04.08.2020","154,85","153,36","155,99","153,21","3,26M","1,32%"
"03.08.2020","152,84","152,73","153,81","151,27","3,62M","1,70%"
"31.07.2020","150,29","153,13","153,34","148,74","5,34M","-1,77%"
"30.07.2020","153,00","157,89","158,35","150,45","6,64M","-5,41%"
"29.07.2020","161,75","162,53","163,02","161,10","3,11M","-0,55%"
"28.07.2020","162,65","161,53","165,41","161,53","3,48M","1,34%"
"27.07.2020","160,50","159,62","161,72","158,87","2,71M","0,60%"
"24.07.2020","159,54","161,47","161,47","158,45","2,25M","-1,23%"
"23.07.2020","161,52","164,91","165,42","160,80","2,41M","-2,01%"
"22.07.2020","164,84","165,51","165,84","162,39","1,69M","-0,28%"
"21.07.2020","165,30","167,00","167,09","164,82","1,54M","-1,04%"
"20.07.2020","167,04","166,49","167,71","165,73","1,81M","0,65%"
"17.07.2020","165,96","166,04","167,26","165,11","3,03M","0,58%"
"16.07.2020","165,00","164,86","165,09","162,63","1,49M","-0,27%"
"15.07.2020","165,45","165,43","166,29","163,95","2,35M","0,96%"
"14.07.2020","163,88","162,88","164,77","161,53","2,56M","1,11%"
"13.07.2020","162,08","164,67","166,95","161,10","3,46M","-0,78%"
"10.07.2020","163,36","166,14","166,14","162,74","2,25M","-1,86%"
"09.07.2020","166,45","170,15","170,67","163,81","2,96M","-1,58%"
"08.07.2020","169,13","167,62","169,75","166,95","2,78M","1,43%"
