"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"31.12.2020","174,79","174,12","174,87","173,18","1,84M","0,39%"
"30.12.2020","174,11","173,88","174,92","173,38","1,39M","0,15%"
"29.12.2020","173,85","175,55","175,64","173,15","1,21M","-0,49%"
"28.12.2020","174,71","175,12","176,40","174,40","1,40M","0,11%"
"24.12.2020","174,52","174,42","174,79","173,42","656,18K","0,30%"
"23.12.2020","173,99","175,21","175,74","173,98","1,76M","-0,45%"
"22.12.2020","174,78","175,43","175,88","174,24","1,38M","-0,50%"
"21.12.2020","175,66","173,79","176,09","173,18","1,70M","-0,43%"
"18.12.2020","176,42","176,76","177,46","175,11","4,68M","-0,13%"
"17.12.2020","176,65","176,12","177,45","175,51","2,33M","0,71%"
"16.12.2020","175,41","174,38","175,84","174,35","1,95M","0,42%"
"15.12.2020","174,68","174,17","175,04","172,55","2,27M","0,92%"
"14.12.2020","173,08","175,52","176,16","173,05","3,70M","-0,54%"
"11.12.2020","174,02","172,30","174,65","172,17","1,88M","0,31%"
"10.12.2020","173,49","174,92","175,39","172,69","2,23M","-1,03%"
"09.12.2020","175,29","172,43","175,57","171,96","2,79M","1,64%"
"08.12.2020","172,46","169,99","172,79","169,99","1,73M","1,36%"
"07.12.2020","170,15","172,00","172,46","169,21","2,53M","-1,34%"
"04.12.2020","172,46","172,13","173,16","171,54","2,66M","0,37%"
"03.12.2020","171,83","171,93","173,37","171,36","2,38M","-0,01%"
"02.12.2020","171,85","170,22","172,45","170,22","2,42M","0,78%"
"01.12.2020","170,52","174,22","175,69","170,01","3,85M","-1,28%"
"30.11.2020","172,73","175,88","175,95","172,72","6,14M","-2,35%"
"27.11.2020","176,89","177,82","179,63","175,57","1,27M","-0,13%"
"25.11.2020","177,12","176,84","177,34","175,45","2,05M","0,02%"
"24.11.2020","177,08","175,27","177,18","175,15","3,09M","1,69%"
"23.11.2020","174,14","173,75","174,84","173,48","2,07M","0,72%"
"20.11.2020","172,89","171,50","172,95","170,96","2,66M","0,75%"
"19.11.2020","171,61","171,40","171,87","169,34","2,99M","0,12%"
"18.11.2020","171,40","174,51","174,70","171,36","2,62M","-1,29%"
"17.11.2020","173,64","173,36","174,50","170,95","2,59M","-0,13%"
"16.11.2020","173,86","172,60","173,87","170,22","2,43M","2,40%"
"13.11.2020","169,79","167,92","170,26","167,28","1,81M","1,64%"
"12.11.2020","167,05","168,89","169,13","165,58","2,22M","-1,28%"
"11.11.2020","169,21","170,05","170,56","167,60","2,88M","0,04%"
"10.11.2020","169,14","165,25","169,22","163,87","3,50M","3,49%"
"09.11.2020","163,43","174,13","175,43","163,18","4,42M","0,25%"
"06.11.2020","163,02","163,66","164,30","161,57","1,69M","-0,11%"
"05.11.2020","163,20","162,64","164,34","162,36","2,18M","1,90%"
"04.11.2020","160,16","163,19","165,25","159,93","3,14M","-3,23%"
"03.11.2020","165,51","164,89","166,75","163,84","1,90M","1,58%"
"02.11.2020","162,94","162,18","163,40","161,00","2,12M","1,86%"
"30.10.2020","159,96","158,33","159,96","156,99","2,23M","0,93%"
"29.10.2020","158,48","158,11","160,18","156,13","2,68M","-0,03%"
"28.10.2020","158,53","159,81","162,76","158,14","3,07M","-1,55%"
"27.10.2020","161,03","164,97","164,97","160,68","3,89M","-3,09%"
"26.10.2020","166,16","167,50","167,91","164,42","3,34M","-2,14%"
"23.10.2020","169,80","171,92","172,18","169,02","2,14M","-0,53%"
"22.10.2020","170,71","169,77","170,97","168,46","1,66M","0,91%"
"21.10.2020","169,17","170,50","172,06","169,08","1,51M","-1,04%"
"20.10.2020","170,95","170,14","173,17","170,00","1,81M","0,83%"
"19.10.2020","169,55","171,60","172,18","168,99","1,91M","-0,83%"
"16.10.2020","170,97","169,94","172,07","169,21","2,48M","1,12%"
"15.10.2020","169,08","166,05","169,68","165,80","1,64M","0,40%"
"14.10.2020","168,40","167,06","169,50","167,06","1,44M","1,06%"
"13.10.2020","166,63","168,25","169,36","166,01","1,58M","-1,20%"
"12.10.2020","168,65","169,36","170,60","168,16","1,53M","-0,38%"
"09.10.2020","169,30","168,88","170,48","167,95","2,02M","0,95%"
"08.10.2020","167,71","167,35","168,13","166,27","1,90M","0,73%"
"07.10.2020","166,49","164,80","167,70","164,80","2,16M","2,63%"
"06.10.2020","162,23","163,44","165,70","161,85","2,02M","-0,32%"
"05.10.2020","162,75","162,25","163,50","161,76","1,46M","1,49%"
"02.10.2020","160,36","156,47","161,94","156,25","1,77M","0,99%"
"01.10.2020","158,79","160,85","161,70","157,74","1,99M","-0,87%"
"30.09.2020","160,18","160,72","163,06","158,61","3,06M","0,23%"
"29.09.2020","159,81","161,66","161,95","158,80","2,03M","-1,14%"
"28.09.2020","161,66","162,30","164,13","161,34","2,10M","0,87%"
"25.09.2020","160,27","159,31","160,98","158,86","1,95M","-0,09%"
"24.09.2020","160,42","159,40","161,95","158,07","1,57M","0,57%"
"23.09.2020","159,51","162,55","164,21","159,12","2,25M","-1,74%"
"22.09.2020","162,34","161,33","163,26","160,53","2,10M","0,61%"
"21.09.2020","161,36","165,97","166,47","159,65","3,91M","-4,83%"
"18.09.2020","169,55","172,06","172,78","169,47","4,08M","-1,64%"
"17.09.2020","172,38","167,52","173,20","167,23","2,76M","1,69%"
"16.09.2020","169,51","167,72","171,10","167,58","2,93M","1,77%"
"15.09.2020","166,57","169,87","169,92","166,19","2,06M","-1,12%"
"14.09.2020","168,46","167,66","169,42","166,47","2,26M","1,38%"
"11.09.2020","166,17","163,44","166,70","163,06","1,70M","1,85%"
"10.09.2020","163,15","166,26","166,60","162,75","2,05M","-1,54%"
"09.09.2020","165,70","164,86","167,25","164,86","2,72M","1,55%"
"08.09.2020","163,17","165,63","165,63","161,99","2,86M","-1,57%"
"04.09.2020","165,77","168,18","169,11","163,90","3,27M","-0,32%"
"03.09.2020","166,31","169,85","170,40","164,99","3,48M","-1,89%"
"02.09.2020","169,51","165,42","170,00","165,24","3,94M","2,86%"
"01.09.2020","164,80","162,17","165,55","161,64","2,90M","1,09%"
"31.08.2020","163,02","165,20","165,71","162,15","2,88M","-1,59%"
"28.08.2020","165,66","164,64","166,17","163,92","3,05M","0,96%"
"27.08.2020","164,08","164,71","165,35","163,23","2,33M","0,11%"
"26.08.2020","163,90","162,72","164,75","161,80","2,50M","0,49%"
"25.08.2020","163,10","164,45","165,25","162,42","1,94M","-0,26%"
"24.08.2020","163,53","161,55","163,93","161,16","2,60M","1,13%"
"21.08.2020","161,71","160,93","162,69","160,74","2,01M","-0,77%"
"20.08.2020","162,97","163,01","163,64","162,40","1,99M","-0,61%"
"19.08.2020","163,97","164,74","165,62","163,80","2,01M","-0,25%"
"18.08.2020","164,38","164,53","165,43","163,76","1,52M","-0,20%"
"17.08.2020","164,71","165,37","166,30","163,86","2,07M","-0,84%"
"14.08.2020","166,10","164,61","166,30","164,52","1,61M","0,14%"
"13.08.2020","165,86","165,19","167,46","164,88","2,88M","0,97%"
"12.08.2020","164,26","165,05","165,86","163,39","2,08M","0,54%"
"11.08.2020","163,38","163,91","166,64","163,06","3,76M","1,20%"
"10.08.2020","161,44","158,60","161,58","158,60","2,27M","1,96%"
"07.08.2020","158,33","155,99","158,42","155,07","2,18M","1,49%"
"06.08.2020","156,00","155,93","156,45","154,73","2,89M","0,42%"
"05.08.2020","155,35","152,31","155,39","152,22","2,72M","2,74%"
"04.08.2020","151,21","149,90","151,21","149,70","1,85M","0,53%"
"03.08.2020","150,41","151,21","151,29","149,38","2,27M","-0,04%"
"31.07.2020","150,47","151,68","151,75","148,80","3,27M","-1,08%"
"30.07.2020","152,12","154,49","154,49","151,40","3,11M","-2,64%"
"29.07.2020","156,25","156,50","157,53","154,92","3,32M","0,59%"
"28.07.2020","155,33","155,85","157,39","153,88","7,74M","-4,85%"
"27.07.2020","163,24","159,88","163,37","159,47","3,20M","2,13%"
"24.07.2020","159,84","160,05","161,60","158,72","2,52M","0,35%"
"23.07.2020","159,29","159,00","159,63","158,39","2,70M","0,37%"
"22.07.2020","158,71","157,26","159,85","157,26","1,90M","0,58%"
"21.07.2020","157,80","157,00","159,55","157,00","2,76M","0,91%"
"20.07.2020","156,37","158,85","158,87","156,37","1,79M","-2,16%"
"17.07.2020","159,83","160,86","161,56","159,51","2,55M","-0,42%"
"16.07.2020","160,50","159,02","160,90","158,09","1,80M","0,73%"
"15.07.2020","159,33","160,15","161,22","159,28","3,47M","0,50%"
"14.07.2020","158,54","154,97","159,23","154,14","3,20M","2,42%"
"13.07.2020","154,80","154,28","156,89","154,18","2,22M","1,28%"
"10.07.2020","152,85","151,69","153,25","150,99","1,95M","0,92%"
"09.07.2020","151,45","154,24","154,61","151,06","2,19M","-2,02%"
"08.07.2020","154,58","154,93","155,60","153,89","1,66M","-0,16%"
"07.07.2020","154,82","156,08","157,10","154,69","1,57M","-2,07%"
"06.07.2020","158,10","158,95","159,86","157,06","2,10M","0,67%"
"02.07.2020","157,04","157,62","158,88","156,46","1,98M","1,04%"
"01.07.2020","155,43","156,34","157,80","155,31","1,63M","-0,36%"
"30.06.2020","155,99","154,62","156,71","154,05","2,94M","0,27%"
"29.06.2020","155,57","153,75","156,50","153,60","2,15M","2,00%"
"26.06.2020","152,52","154,60","154,78","151,53","2,83M","-1,39%"
"25.06.2020","154,67","151,97","155,00","150,10","2,06M","1,61%"
"24.06.2020","152,22","156,25","156,66","151,71","3,04M","-3,56%"
"23.06.2020","157,84","157,76","158,67","156,28","2,30M","0,73%"
"22.06.2020","156,69","156,70","157,37","155,62","2,02M","-0,92%"
"19.06.2020","158,15","161,75","161,75","156,50","6,40M","-0,67%"
"18.06.2020","159,21","157,82","159,83","157,76","1,81M","-0,01%"
"17.06.2020","159,22","160,05","160,85","159,01","1,71M","-0,28%"
"16.06.2020","159,67","162,47","163,38","156,91","3,39M","1,23%"
"15.06.2020","157,73","150,49","159,62","150,49","4,09M","1,85%"
"12.06.2020","154,87","156,28","157,41","151,73","3,00M","1,63%"
"11.06.2020","152,38","160,06","160,06","152,31","5,02M","-7,03%"
"10.06.2020","163,90","166,56","167,29","163,88","2,55M","-1,68%"
"09.06.2020","166,70","165,48","167,96","164,08","3,16M","-0,10%"
"08.06.2020","166,87","167,10","169,51","165,30","2,99M","-0,32%"
"05.06.2020","167,41","165,00","168,35","165,00","4,53M","2,99%"
"04.06.2020","162,55","159,91","162,55","159,20","2,88M","0,83%"
"03.06.2020","161,21","159,15","161,63","158,55","3,67M","2,26%"
"02.06.2020","157,64","156,75","158,58","156,64","2,33M","1,32%"
"01.06.2020","155,58","156,25","157,54","154,99","2,08M","-0,55%"
"29.05.2020","156,44","155,50","156,87","153,05","8,63M","-0,24%"
"28.05.2020","156,82","158,75","159,86","154,19","6,73M","-0,84%"
"27.05.2020","158,15","153,99","158,15","153,34","6,06M","3,99%"
"26.05.2020","152,08","150,43","152,98","149,22","4,62M","3,85%"
"22.05.2020","146,44","145,74","146,64","144,60","2,66M","0,43%"
"21.05.2020","145,81","147,58","148,57","145,34","2,79M","-2,59%"
"20.05.2020","149,68","150,00","151,38","148,98","3,43M","0,88%"
"19.05.2020","148,38","148,19","151,65","147,45","4,06M","-0,60%"
"18.05.2020","149,27","143,04","149,67","142,76","6,02M","7,63%"
"15.05.2020","138,69","134,85","138,82","134,21","10,11M","1,99%"
"14.05.2020","135,99","135,07","136,00","131,15","5,90M","-0,10%"
"13.05.2020","136,12","140,44","140,53","135,05","4,81M","-3,82%"
"12.05.2020","141,52","146,55","147,22","141,45","3,03M","-2,89%"
"11.05.2020","145,73","147,82","147,96","145,59","3,03M","-1,87%"
"08.05.2020","148,51","147,08","149,18","146,38","2,17M","1,90%"
"07.05.2020","145,74","147,70","147,85","144,90","2,80M","-0,31%"
"06.05.2020","146,20","147,79","148,17","145,99","2,17M","-0,83%"
"05.05.2020","147,43","149,89","150,00","147,10","2,27M","-0,65%"
"04.05.2020","148,40","148,54","148,55","146,06","2,23M","-0,13%"
"01.05.2020","148,60","149,30","150,04","147,73","2,93M","-2,19%"
"30.04.2020","151,92","154,31","154,94","151,75","3,67M","-2,78%"
"29.04.2020","156,26","158,54","160,22","155,17","3,99M","-0,86%"
"28.04.2020","157,61","160,03","163,08","155,20","8,29M","2,58%"
"27.04.2020","153,65","148,00","154,49","147,89","4,64M","4,52%"
"24.04.2020","147,00","145,17","147,34","144,31","2,25M","1,85%"
"23.04.2020","144,33","144,58","147,58","143,88","2,59M","0,50%"
"22.04.2020","143,61","143,36","144,48","141,71","2,75M","1,40%"
"21.04.2020","141,63","142,25","142,77","140,50","2,33M","-1,42%"
"20.04.2020","143,67","144,75","147,02","143,65","2,89M","-1,90%"
"17.04.2020","146,46","147,44","148,49","144,80","5,39M","1,08%"
"16.04.2020","144,90","145,27","146,45","143,23","4,17M","-0,18%"
"15.04.2020","145,16","148,19","148,55","144,90","3,04M","-3,32%"
"14.04.2020","150,14","149,62","150,98","148,05","3,32M","2,55%"
"13.04.2020","146,40","147,50","148,58","145,30","2,64M","-0,93%"
"09.04.2020","147,78","148,46","149,73","146,54","4,78M","-0,81%"
"08.04.2020","148,99","145,73","149,72","143,91","3,07M","3,04%"
"07.04.2020","144,60","147,50","150,64","144,40","5,50M","2,77%"
"06.04.2020","140,70","137,86","141,25","136,90","5,64M","5,16%"
"03.04.2020","133,79","136,01","137,43","132,90","3,59M","-2,99%"
"02.04.2020","137,91","132,36","138,21","132,10","3,99M","3,58%"
"01.04.2020","133,14","132,00","135,84","131,01","3,78M","-2,47%"
"31.03.2020","136,51","135,69","139,44","135,68","3,61M","-0,89%"
"30.03.2020","137,74","132,25","138,01","131,06","3,87M","3,38%"
"27.03.2020","133,24","132,03","137,07","130,91","4,26M","-2,16%"
"26.03.2020","136,18","131,77","136,31","130,67","6,72M","3,53%"
"25.03.2020","131,54","133,18","134,69","126,93","7,74M","-0,89%"
"24.03.2020","132,72","122,27","133,39","121,00","9,31M","12,60%"
"23.03.2020","117,87","128,16","128,40","114,04","7,93M","-5,62%"
"20.03.2020","124,89","138,07","139,24","122,71","9,59M","-9,18%"
"19.03.2020","137,51","136,95","140,12","133,00","6,37M","0,36%"
"18.03.2020","137,02","128,78","139,06","128,49","6,86M","1,92%"
"17.03.2020","134,44","131,94","136,77","129,61","6,54M","2,70%"
"16.03.2020","130,91","129,86","135,50","128,01","7,44M","-7,60%"
"13.03.2020","141,68","141,01","141,69","131,00","6,58M","6,06%"
"12.03.2020","133,58","139,96","141,71","130,34","8,22M","-9,28%"
"11.03.2020","147,24","149,73","149,73","146,47","4,75M","-3,95%"
"10.03.2020","153,30","149,02","153,38","144,88","5,65M","6,41%"
"09.03.2020","144,06","146,59","149,46","143,55","8,19M","-6,24%"
"06.03.2020","153,65","149,59","154,74","147,87","7,16M","1,48%"
"05.03.2020","151,41","150,80","154,35","149,55","5,89M","-1,67%"
"04.03.2020","153,98","147,02","154,00","145,99","5,77M","6,02%"
"03.03.2020","145,24","152,44","154,00","144,44","8,30M","-5,08%"
"02.03.2020","153,02","151,34","153,43","148,37","8,03M","2,53%"
"28.02.2020","149,24","154,09","156,72","146,00","11,51M","-0,61%"
"27.02.2020","150,16","151,23","155,43","149,00","8,24M","0,81%"
"26.02.2020","148,96","149,57","151,82","148,09","5,16M","1,44%"
"25.02.2020","146,85","153,31","153,44","145,97","5,26M","-3,74%"
"24.02.2020","152,55","154,45","154,71","152,22","3,64M","-2,79%"
"21.02.2020","156,93","158,33","158,59","156,12","3,54M","-1,03%"
"20.02.2020","158,56","159,00","161,39","158,50","3,28M","-0,49%"
"19.02.2020","159,34","159,08","160,47","158,36","2,30M","0,29%"
"18.02.2020","158,88","160,36","160,53","158,04","2,48M","-1,32%"
"14.02.2020","161,01","159,85","161,14","158,82","2,23M","0,78%"
"13.02.2020","159,76","161,76","161,87","159,00","3,41M","-2,47%"
"12.02.2020","163,80","164,24","165,04","163,57","2,74M","0,83%"
"11.02.2020","162,45","161,00","162,52","160,02","2,28M","1,44%"
"10.02.2020","160,15","160,21","161,25","158,87","2,75M","0,04%"
"07.02.2020","160,08","161,41","161,92","159,63","2,74M","-1,73%"
"06.02.2020","162,89","164,49","165,00","162,47","3,41M","0,34%"
"05.02.2020","162,33","159,12","162,33","158,70","3,12M","3,24%"
"04.02.2020","157,24","159,77","159,96","157,00","4,36M","0,42%"
"03.02.2020","156,59","160,03","160,31","156,38","3,93M","-1,30%"
"31.01.2020","158,66","162,00","162,65","158,22","5,74M","-2,37%"
"30.01.2020","162,51","161,00","162,64","158,76","4,36M","0,31%"
"29.01.2020","162,00","166,35","166,47","161,53","5,34M","-2,16%"
"28.01.2020","165,58","171,90","172,34","165,05","8,92M","-5,72%"
"27.01.2020","175,63","179,86","180,59","175,54","4,36M","-1,41%"
"24.01.2020","178,15","178,49","179,81","177,53","2,64M","0,23%"
"23.01.2020","177,74","177,07","178,44","176,39","2,36M","-0,16%"
"22.01.2020","178,03","179,51","180,57","177,88","2,42M","-0,76%"
"21.01.2020","179,39","181,85","181,91","178,63","3,37M","-1,08%"
"17.01.2020","181,35","181,00","182,15","180,70","3,69M","0,19%"
"16.01.2020","181,01","180,68","181,20","179,69","2,15M","0,68%"
"15.01.2020","179,78","181,42","181,86","179,18","2,48M","-0,88%"
"14.01.2020","181,37","180,92","182,54","180,21","2,91M","0,25%"
"13.01.2020","180,92","180,94","182,23","180,36","2,09M","0,25%"
"10.01.2020","180,47","181,61","182,18","180,14","2,10M","-0,40%"
"09.01.2020","181,20","181,51","181,59","179,76","2,75M","0,32%"
"08.01.2020","180,63","178,00","181,50","177,65","2,76M","1,53%"
"07.01.2020","177,90","178,28","178,51","176,82","2,18M","-0,40%"
"06.01.2020","178,62","177,15","178,71","176,35","2,00M","0,10%"
"03.01.2020","178,45","177,02","178,66","175,63","2,47M","-0,86%"
"02.01.2020","180,00","177,68","180,01","177,14","3,45M","2,03%"
"31.12.2019","176,42","175,23","176,59","175,07","1,57M","0,34%"
"30.12.2019","175,83","177,26","178,96","175,59","1,72M","-0,81%"
"27.12.2019","177,26","176,65","177,54","175,62","1,47M","0,38%"
"26.12.2019","176,59","176,45","176,66","175,50","1,44M","-0,05%"
"24.12.2019","176,68","178,27","178,67","176,04","1,26M","-1,00%"
"23.12.2019","178,47","176,71","179,18","176,56","4,88M","1,77%"
"20.12.2019","175,37","174,79","175,47","172,20","7,51M","1,87%"
"19.12.2019","172,15","169,62","172,58","169,15","2,76M","1,85%"
"18.12.2019","169,03","169,78","170,00","168,19","2,27M","-0,53%"
