"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"31.12.2020","81,80","80,64","81,94","80,38","5,26M","1,50%"
"30.12.2020","80,59","81,56","81,73","80,56","5,66M","-1,02%"
"29.12.2020","81,42","80,84","81,59","80,78","5,45M","1,21%"
"28.12.2020","80,45","80,69","81,13","80,13","4,58M","0,39%"
"24.12.2020","80,14","80,00","80,43","79,87","2,82M","0,48%"
"23.12.2020","79,76","79,65","80,42","79,58","5,78M","0,43%"
"22.12.2020","79,42","78,82","79,98","78,25","8,64M","0,16%"
"21.12.2020","79,29","78,75","79,32","77,75","10,63M","-0,30%"
"18.12.2020","79,53","79,71","80,18","78,45","31,64M","-0,36%"
"17.12.2020","79,82","80,22","80,54","79,68","11,17M","-0,01%"
"16.12.2020","79,83","80,23","80,72","79,66","9,05M","-0,81%"
"15.12.2020","80,48","80,50","81,00","80,01","9,63M","0,20%"
"14.12.2020","80,32","82,60","83,06","80,05","12,54M","-3,18%"
"11.12.2020","82,96","82,85","83,42","82,52","7,61M","-0,04%"
"10.12.2020","82,99","83,77","83,91","82,73","7,01M","-0,58%"
"09.12.2020","83,47","83,60","83,87","82,56","6,84M","0,35%"
"08.12.2020","83,18","82,33","83,74","82,33","8,27M","0,81%"
"07.12.2020","82,51","82,22","83,47","82,13","8,42M","0,70%"
"04.12.2020","81,94","81,14","81,96","81,11","8,26M","0,60%"
"03.12.2020","81,45","81,83","81,97","80,85","6,76M","-0,46%"
"02.12.2020","81,83","82,00","82,74","81,30","6,84M","0,34%"
"01.12.2020","81,55","80,95","82,46","80,82","9,68M","1,44%"
"30.11.2020","80,39","79,97","80,52","79,42","13,84M","0,66%"
"27.11.2020","79,86","80,30","80,68","79,56","5,39M","-0,25%"
"25.11.2020","80,06","80,14","80,46","79,60","5,75M","-0,10%"
"24.11.2020","80,14","80,21","80,88","79,68","12,21M","-0,17%"
"23.11.2020","80,28","80,71","81,16","79,46","9,06M","-0,21%"
"20.11.2020","80,45","80,47","80,81","79,73","8,03M","0,07%"
"19.11.2020","80,39","80,25","80,66","79,33","6,71M","0,17%"
"18.11.2020","80,25","81,34","81,95","80,24","8,28M","-1,53%"
"17.11.2020","81,50","81,01","81,95","80,42","9,07M","1,65%"
"16.11.2020","80,18","81,24","81,46","79,70","9,07M","-1,12%"
"13.11.2020","81,09","80,24","81,85","79,72","7,34M","1,54%"
"12.11.2020","79,86","80,58","80,58","79,04","7,12M","-1,48%"
"11.11.2020","81,06","81,80","81,87","80,59","5,48M","-0,06%"
"10.11.2020","81,11","81,77","82,00","81,04","8,20M","0,76%"
"09.11.2020","80,50","84,94","85,06","80,36","10,67M","0,17%"
"06.11.2020","80,36","79,45","81,14","79,45","6,63M","-0,12%"
"05.11.2020","80,46","82,06","82,88","80,46","8,85M","-0,20%"
"04.11.2020","80,62","79,79","82,89","79,59","14,06M","4,81%"
"03.11.2020","76,92","77,47","78,22","76,78","7,34M","0,27%"
"02.11.2020","76,71","76,45","76,84","75,64","7,77M","1,99%"
"30.10.2020","75,21","75,38","75,89","73,94","10,59M","-0,90%"
"29.10.2020","75,89","76,17","76,59","74,67","8,89M","-0,38%"
"28.10.2020","76,18","77,12","77,73","76,08","8,58M","-2,32%"
"27.10.2020","77,99","79,13","80,18","77,99","11,68M","-1,08%"
"26.10.2020","78,84","79,26","79,74","78,26","8,70M","-1,24%"
"23.10.2020","79,83","79,26","80,62","79,26","6,97M","0,78%"
"22.10.2020","79,21","78,27","79,42","78,24","5,80M","1,46%"
"21.10.2020","78,07","78,26","78,82","78,06","9,25M","-0,26%"
"20.10.2020","78,27","78,82","78,92","78,10","10,63M","-0,51%"
"19.10.2020","78,67","80,11","80,44","78,34","8,22M","-1,45%"
"16.10.2020","79,83","79,30","80,30","79,11","7,54M","0,97%"
"15.10.2020","79,06","79,81","79,81","78,78","8,73M","-1,80%"
"14.10.2020","80,51","80,87","80,87","80,08","8,75M","-0,25%"
"13.10.2020","80,71","80,29","80,92","80,04","8,71M","0,44%"
"12.10.2020","80,36","80,50","80,72","79,91","7,90M","0,00%"
"09.10.2020","80,36","80,88","81,08","80,05","5,68M","-0,15%"
"08.10.2020","80,48","80,39","81,82","80,23","8,79M","0,55%"
"07.10.2020","80,04","80,01","80,35","79,52","9,39M","0,51%"
"06.10.2020","79,63","81,00","81,00","79,53","9,80M","-1,98%"
"05.10.2020","81,24","81,23","81,54","80,62","8,40M","0,54%"
"02.10.2020","80,80","80,80","81,74","80,45","5,01M","-1,03%"
"01.10.2020","81,64","83,06","83,31","81,25","8,03M","-1,58%"
"30.09.2020","82,95","82,26","83,31","82,03","11,06M","1,28%"
"29.09.2020","81,90","82,67","83,15","81,70","6,43M","-1,04%"
"28.09.2020","82,76","83,21","83,68","82,58","5,84M","-0,20%"
