"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"31.12.2020","36,81","36,66","36,92","36,29","30,80M","0,19%"
"30.12.2020","36,74","37,05","37,23","36,71","24,89M","-0,84%"
"29.12.2020","37,05","36,92","37,19","36,80","23,15M","0,62%"
"28.12.2020","36,82","37,39","37,54","36,68","26,99M","-1,21%"
"24.12.2020","37,27","37,40","37,57","37,18","14,79M","-0,45%"
"23.12.2020","37,44","37,01","37,64","36,89","36,18M","1,91%"
"22.12.2020","36,74","37,21","37,32","36,61","34,10M","-1,71%"
"21.12.2020","37,38","37,24","37,40","36,91","40,89M","-0,80%"
"18.12.2020","37,68","37,99","38,09","37,50","60,26M","-0,92%"
"17.12.2020","38,03","37,86","38,12","37,31","52,04M","0,50%"
"16.12.2020","37,84","38,28","38,46","37,77","56,52M","-2,25%"
"15.12.2020","38,71","39,07","39,15","38,21","66,00M","-1,28%"
"14.12.2020","39,21","41,62","41,65","39,07","94,81M","-4,64%"
"11.12.2020","41,12","41,97","42,07","40,69","60,74M","-1,46%"
"10.12.2020","41,73","41,83","42,21","41,45","57,75M","-0,29%"
"09.12.2020","41,85","43,02","43,02","41,15","86,12M","-1,67%"
"08.12.2020","42,56","41,44","42,76","41,37","87,04M","3,18%"
"07.12.2020","41,25","40,65","41,40","40,37","48,25M","2,26%"
"04.12.2020","40,34","39,89","40,45","39,89","35,37M","0,62%"
"03.12.2020","40,09","41,01","41,01","39,58","68,57M","-1,74%"
"02.12.2020","40,80","40,60","41,40","40,33","84,35M","3,53%"
"01.12.2020","39,41","39,40","40,50","39,01","73,64M","2,87%"
"30.11.2020","38,31","37,99","38,69","37,60","65,43M","2,90%"
"27.11.2020","37,23","36,78","37,26","36,75","25,28M","1,92%"
"25.11.2020","36,53","36,53","36,56","36,24","26,96M","-0,19%"
"24.11.2020","36,60","36,13","36,74","36,03","42,49M","0,22%"
"23.11.2020","36,52","36,99","37,02","36,21","43,67M","-0,49%"
"20.11.2020","36,70","36,70","37,31","36,44","60,63M","1,41%"
"19.11.2020","36,19","36,32","36,56","35,87","43,26M","-0,36%"
"18.11.2020","36,32","36,80","37,41","36,30","63,44M","0,78%"
"17.11.2020","36,04","36,41","36,49","35,82","46,98M","-3,46%"
"16.11.2020","37,33","37,84","37,94","36,85","71,66M","-3,34%"
"13.11.2020","38,62","37,87","38,65","37,71","38,25M","2,85%"
"12.11.2020","37,55","38,15","38,20","37,25","44,42M","-2,47%"
"11.11.2020","38,50","38,97","38,98","37,91","55,96M","-0,47%"
"10.11.2020","38,68","40,44","40,51","38,49","75,99M","-1,33%"
"09.11.2020","39,20","41,83","41,84","38,48","218,36M","7,69%"
"06.11.2020","36,40","36,39","36,72","36,09","22,65M","0,03%"
"05.11.2020","36,39","37,25","37,28","36,39","32,19M","-2,52%"
"04.11.2020","37,33","37,05","38,11","37,00","38,78M","3,15%"
"03.11.2020","36,19","36,52","36,60","36,09","20,53M","-0,11%"
"02.11.2020","36,23","35,94","36,25","35,55","20,33M","2,11%"
"30.10.2020","35,48","35,24","35,53","34,84","24,33M","0,57%"
"29.10.2020","35,28","35,48","35,64","34,60","26,13M","-0,48%"
"28.10.2020","35,45","36,73","37,12","35,32","32,12M","-5,29%"
"27.10.2020","37,43","37,26","38,11","36,94","34,96M","-1,29%"
"26.10.2020","37,92","38,00","38,01","37,48","32,05M","-0,68%"
"23.10.2020","38,18","37,93","38,28","37,65","28,99M","2,00%"
"22.10.2020","37,43","37,05","37,57","37,05","18,26M","0,94%"
"21.10.2020","37,08","37,40","37,43","37,06","18,01M","-1,09%"
"20.10.2020","37,49","37,85","37,87","37,35","21,24M","-0,82%"
"19.10.2020","37,80","38,46","38,84","37,65","30,30M","-0,40%"
"16.10.2020","37,95","37,07","38,12","37,02","40,79M","3,83%"
"15.10.2020","36,55","36,63","36,74","36,41","15,27M","-0,84%"
"14.10.2020","36,86","37,00","37,30","36,58","20,99M","-0,11%"
"13.10.2020","36,90","36,63","37,12","36,63","20,44M","0,22%"
"12.10.2020","36,82","36,68","37,17","36,48","18,42M","0,08%"
"09.10.2020","36,79","36,83","37,12","36,59","22,45M","-0,27%"
"08.10.2020","36,89","36,59","37,17","36,51","16,94M","1,15%"
"07.10.2020","36,47","36,21","36,59","36,03","21,02M","0,83%"
"06.10.2020","36,17","37,00","37,00","36,12","23,94M","-1,58%"
"05.10.2020","36,75","36,53","36,88","36,34","18,41M","1,02%"
"02.10.2020","36,38","36,06","36,66","36,03","20,36M","0,03%"
"01.10.2020","36,37","36,94","37,08","36,17","21,37M","-0,90%"
"30.09.2020","36,70","36,31","36,95","36,25","21,47M","1,47%"
"29.09.2020","36,17","36,41","36,53","36,04","12,84M","-0,60%"
"28.09.2020","36,39","36,18","36,57","36,18","14,27M","0,94%"
"25.09.2020","36,05","35,54","36,15","35,52","13,63M","0,81%"
"24.09.2020","35,76","36,04","36,04","35,54","19,79M","-0,67%"
"23.09.2020","36,00","36,27","36,37","35,98","21,92M","-0,69%"
"22.09.2020","36,25","35,77","36,33","35,75","21,56M","0,64%"
"21.09.2020","36,02","36,38","36,47","35,38","25,25M","-1,67%"
"18.09.2020","36,63","36,78","37,07","36,57","30,07M","-0,52%"
"17.09.2020","36,82","36,76","36,97","36,56","16,98M","0,11%"
"16.09.2020","36,78","37,22","37,30","36,73","21,11M","-0,49%"
"15.09.2020","36,96","37,14","37,35","36,81","20,88M","-0,14%"
"14.09.2020","37,01","36,36","37,53","36,31","28,05M","2,61%"
"11.09.2020","36,07","35,74","36,11","35,45","22,87M","1,18%"
"10.09.2020","35,65","36,18","36,32","35,59","20,54M","-1,46%"
"09.09.2020","36,18","36,25","36,65","36,15","26,08M","0,70%"
"08.09.2020","35,93","36,59","36,59","35,69","25,37M","-1,18%"
"04.09.2020","36,36","36,49","36,63","35,87","25,50M","-0,11%"
"03.09.2020","36,40","37,43","37,48","36,11","34,11M","-2,15%"
"02.09.2020","37,20","36,69","37,30","36,42","27,58M","0,87%"
"01.09.2020","36,88","37,79","37,82","36,51","34,01M","-2,41%"
"31.08.2020","37,79","37,84","38,02","37,50","28,36M","-0,32%"
"28.08.2020","37,91","37,87","38,06","37,40","31,15M","0,13%"
"27.08.2020","37,86","37,94","38,00","37,68","21,02M","-0,50%"
"26.08.2020","38,05","38,17","38,27","37,67","22,85M","-0,94%"
"25.08.2020","38,41","38,48","38,56","37,96","24,88M","-1,11%"
"24.08.2020","38,84","39,00","39,03","38,54","23,73M","-0,10%"
"21.08.2020","38,88","38,91","39,00","38,57","24,16M","0,41%"
"20.08.2020","38,72","38,20","38,79","38,15","20,83M","1,20%"
"19.08.2020","38,26","38,48","38,60","38,12","14,89M","-0,26%"
"18.08.2020","38,36","38,40","38,46","38,17","10,29M","0,03%"
"17.08.2020","38,35","38,05","38,41","37,95","16,60M","0,76%"
"14.08.2020","38,06","38,01","38,39","37,93","12,24M","-0,29%"
"13.08.2020","38,17","38,06","38,17","37,90","14,55M","-0,42%"
"12.08.2020","38,33","37,83","38,55","37,81","18,94M","1,43%"
"11.08.2020","37,79","38,56","38,58","37,68","20,23M","-1,56%"
"10.08.2020","38,39","38,51","38,66","38,27","18,94M","-0,16%"
"07.08.2020","38,45","38,30","38,62","38,16","21,91M","0,47%"
"06.08.2020","38,27","38,75","39,09","38,16","19,85M","-0,47%"
"05.08.2020","38,45","38,46","38,52","38,13","23,34M","0,16%"
"04.08.2020","38,39","38,30","38,68","38,10","27,94M","0,10%"
"03.08.2020","38,35","38,62","38,62","38,22","29,45M","-0,34%"
