"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"31.12.2020","350,68","345,04","351,09","344,05","1,97M","1,65%"
"30.12.2020","344,99","347,63","349,01","344,65","1,87M","-0,68%"
"29.12.2020","347,35","347,99","351,29","345,00","2,27M","0,40%"
"28.12.2020","345,95","343,21","347,79","343,06","2,26M","1,51%"
"24.12.2020","340,79","336,44","341,41","336,44","1,36M","0,95%"
"23.12.2020","337,59","336,82","341,63","336,74","2,35M","0,77%"
"22.12.2020","335,01","335,40","336,88","333,67","2,07M","-0,32%"
"21.12.2020","336,08","331,27","336,88","329,45","2,89M","-0,68%"
"18.12.2020","338,38","342,52","342,61","334,00","8,74M","-0,96%"
"17.12.2020","341,67","339,81","342,60","337,30","2,50M","0,69%"
"16.12.2020","339,34","337,52","341,58","334,51","2,37M","-0,10%"
"15.12.2020","339,67","338,48","341,00","337,06","2,62M","1,05%"
"14.12.2020","336,13","339,20","343,02","335,91","2,48M","-0,28%"
"11.12.2020","337,07","338,13","338,88","334,33","3,07M","-0,76%"
"10.12.2020","339,65","344,50","345,43","339,38","2,90M","-1,38%"
"09.12.2020","344,41","348,70","349,41","341,69","2,60M","-0,99%"
"08.12.2020","347,86","344,75","349,90","344,08","2,30M","0,00%"
"07.12.2020","347,86","347,75","349,69","345,28","3,00M","-0,58%"
"04.12.2020","349,89","346,00","351,47","345,75","3,26M","0,35%"
"03.12.2020","348,68","347,67","352,64","346,49","4,17M","0,32%"
"02.12.2020","347,56","341,77","351,83","341,50","2,77M","1,87%"
"01.12.2020","341,19","344,77","354,10","339,93","3,75M","1,44%"
"30.11.2020","336,34","335,11","337,94","330,29","5,26M","-0,47%"
"27.11.2020","337,94","333,53","338,90","331,83","1,56M","1,43%"
"25.11.2020","333,19","338,82","338,82","329,14","3,15M","-0,84%"
"24.11.2020","336,01","336,65","339,86","334,50","3,76M","0,28%"
"23.11.2020","335,06","335,96","336,18","331,70","2,54M","0,11%"
"20.11.2020","334,70","335,00","337,66","331,71","3,70M","-0,68%"
"19.11.2020","337,00","342,42","342,42","334,45","3,94M","-2,18%"
"18.11.2020","344,51","353,16","353,16","343,30","2,72M","-2,16%"
"17.11.2020","352,10","352,19","353,20","348,10","2,56M","-1,32%"
"16.11.2020","356,82","358,29","359,03","351,20","2,79M","0,32%"
"13.11.2020","355,67","356,86","357,94","352,79","2,44M","0,36%"
"12.11.2020","354,41","350,62","360,50","349,77","2,91M","0,77%"
"11.11.2020","351,70","355,01","356,70","349,43","2,05M","-0,56%"
"10.11.2020","353,69","351,00","355,81","348,23","3,73M","1,05%"
"09.11.2020","350,00","366,99","366,99","349,00","4,64M","0,73%"
"06.11.2020","347,46","350,36","352,00","344,57","2,99M","-1,96%"
"05.11.2020","354,40","358,09","360,98","349,68","4,79M","-0,05%"
"04.11.2020","354,56","345,72","360,40","341,27","10,34M","10,33%"
"03.11.2020","321,35","315,73","326,35","315,73","4,04M","2,96%"
"02.11.2020","312,10","311,07","312,47","307,51","4,52M","2,28%"
"30.10.2020","305,14","303,23","307,17","299,60","3,56M","0,48%"
"29.10.2020","303,68","306,59","309,48","301,46","3,28M","-1,40%"
"28.10.2020","308,00","313,38","317,40","307,49","3,30M","-3,90%"
"27.10.2020","320,51","323,06","323,49","319,43","2,29M","-0,79%"
"26.10.2020","323,06","327,42","327,42","318,58","2,41M","-2,28%"
"23.10.2020","330,60","329,16","335,65","328,13","2,35M","1,50%"
"22.10.2020","325,73","322,98","328,06","322,38","2,10M","0,91%"
"21.10.2020","322,79","323,64","326,29","322,18","2,14M","-0,19%"
"20.10.2020","323,41","326,05","328,56","323,41","1,99M","-0,25%"
"19.10.2020","324,22","329,36","330,78","322,14","2,48M","-1,72%"
"16.10.2020","329,90","325,46","332,35","324,73","3,29M","1,64%"
"15.10.2020","324,57","317,32","326,87","316,52","3,17M","0,85%"
"14.10.2020","321,85","322,03","330,28","320,20","4,46M","-2,89%"
"13.10.2020","331,42","328,14","333,70","327,85","2,71M","0,44%"
"12.10.2020","329,97","329,44","333,50","329,04","2,42M","0,65%"
"09.10.2020","327,84","324,66","328,17","323,92","2,03M","1,68%"
"08.10.2020","322,41","323,61","325,06","321,00","2,06M","-0,24%"
"07.10.2020","323,17","316,22","324,71","316,01","2,60M","2,77%"
"06.10.2020","314,45","318,56","320,21","313,66","2,43M","-1,16%"
"05.10.2020","318,15","315,07","318,42","313,12","1,64M","1,98%"
"02.10.2020","311,98","312,10","317,39","308,36","2,34M","-0,35%"
"01.10.2020","313,07","312,62","315,08","309,29","2,73M","0,42%"
"30.09.2020","311,77","305,40","314,51","305,40","3,50M","2,51%"
"29.09.2020","304,15","304,15","305,50","300,78","1,80M","0,30%"
"28.09.2020","303,23","306,60","310,00","302,84","2,58M","0,24%"
"25.09.2020","302,50","291,25","303,27","291,22","2,46M","3,36%"
"24.09.2020","292,66","291,52","294,88","289,72","2,87M","0,18%"
