"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"31.12.2020","39,88","39,33","40,00","39,03","7,70M","1,37%"
"30.12.2020","39,34","39,50","39,73","39,20","4,19M","-0,18%"
"29.12.2020","39,41","39,81","40,32","39,24","4,00M","-0,63%"
"28.12.2020","39,66","39,72","40,29","39,31","4,71M","0,10%"
"24.12.2020","39,62","39,95","40,04","39,08","2,68M","-0,63%"
"23.12.2020","39,87","39,59","40,23","39,59","4,20M","1,53%"
"22.12.2020","39,27","40,59","40,59","39,17","8,09M","-3,44%"
"21.12.2020","40,67","40,37","41,00","40,21","4,80M","-0,05%"
"18.12.2020","40,69","40,99","41,18","40,40","11,94M","-0,46%"
"17.12.2020","40,88","40,83","40,95","40,35","5,61M","1,09%"
"16.12.2020","40,44","41,40","41,40","40,24","7,72M","-2,15%"
"15.12.2020","41,33","41,52","42,00","41,19","5,46M","-0,36%"
"14.12.2020","41,48","42,12","42,12","41,21","6,70M","-0,12%"
"11.12.2020","41,53","41,60","41,67","40,85","5,94M","-0,29%"
"10.12.2020","41,65","41,33","42,04","41,33","4,86M","-0,29%"
"09.12.2020","41,77","42,57","42,57","41,50","6,51M","-0,52%"
"08.12.2020","41,99","41,85","42,47","41,70","6,21M","-1,04%"
"07.12.2020","42,43","43,20","43,20","42,09","6,78M","-2,26%"
"04.12.2020","43,41","43,05","43,45","41,72","11,22M","1,38%"
"03.12.2020","42,82","40,04","43,66","40,04","17,24M","7,48%"
"02.12.2020","39,84","38,56","40,09","38,45","8,35M","3,59%"
"01.12.2020","38,46","38,38","39,20","38,31","7,93M","1,18%"
"30.11.2020","38,01","39,01","39,10","37,89","13,83M","-2,54%"
"27.11.2020","39,00","39,24","39,24","38,61","3,02M","-0,18%"
"25.11.2020","39,07","38,50","39,18","38,07","6,64M","1,43%"
"24.11.2020","38,52","38,42","38,58","37,70","8,79M","1,42%"
"23.11.2020","37,98","37,68","38,03","37,23","8,21M","1,20%"
"20.11.2020","37,53","37,41","38,08","37,13","9,02M","-0,85%"
"19.11.2020","37,85","38,07","38,42","37,02","12,78M","-0,99%"
"18.11.2020","38,23","39,77","39,86","38,22","14,43M","-4,07%"
"17.11.2020","39,85","39,83","40,76","39,60","25,10M","-9,64%"
"16.11.2020","44,10","43,86","44,85","43,86","8,06M","3,25%"
"13.11.2020","42,71","41,10","42,74","40,94","6,45M","4,76%"
"12.11.2020","40,77","41,11","41,13","40,18","5,86M","-1,62%"
"11.11.2020","41,44","42,45","42,74","41,32","7,34M","-2,15%"
"10.11.2020","42,35","39,83","43,75","39,83","18,13M","6,46%"
"09.11.2020","39,78","39,50","40,71","38,56","12,11M","6,62%"
"06.11.2020","37,31","37,69","38,17","37,17","6,37M","-0,59%"
"05.11.2020","37,53","36,36","37,59","36,12","6,10M","3,40%"
"04.11.2020","36,29","36,85","37,68","36,22","8,56M","-2,88%"
"03.11.2020","37,37","36,37","37,62","36,32","7,86M","4,41%"
